grupo_edad,Nacionalidad,anio,tasa
De 10 a 14 anios,Espaniola,2024,0.05
De 10 a 14 anios,Espaniola,2023,0.05
De 10 a 14 anios,Espaniola,2022,0.05
De 10 a 14 anios,Espaniola,2021,0.05
De 10 a 14 anios,Espaniola,2020,0.05
De 10 a 14 anios,Espaniola,2019,0.05
De 10 a 14 anios,Espaniola,2018,0.05
De 10 a 14 anios,Espaniola,2017,0.07
De 10 a 14 anios,Espaniola,2016,0.07
De 10 a 14 anios,Espaniola,2015,0.07
De 10 a 14 anios,Espaniola,2014,0.09
De 10 a 14 anios,Espaniola,2013,0.09
De 10 a 14 anios,Espaniola,2012,0.08
De 10 a 14 anios,Espaniola,2011,0.09
De 10 a 14 anios,Espaniola,2010,0.08
De 10 a 14 anios,Espaniola,2009,0.08
De 10 a 14 anios,Espaniola,2008,0.12
De 10 a 14 anios,Espaniola,2007,0.09
De 10 a 14 anios,Espaniola,2006,0.11
De 10 a 14 anios,Espaniola,2005,0.10
De 10 a 14 anios,Espaniola,2004,0.11
De 10 a 14 anios,Espaniola,2003,0.11
De 10 a 14 anios,Espaniola,2002,0.10
De 10 a 14 anios,Extranjera,2024,0.22
De 10 a 14 anios,Extranjera,2023,0.14
De 10 a 14 anios,Extranjera,2022,0.14
De 10 a 14 anios,Extranjera,2021,0.09
De 10 a 14 anios,Extranjera,2020,0.11
De 10 a 14 anios,Extranjera,2019,0.26
De 10 a 14 anios,Extranjera,2018,0.24
De 10 a 14 anios,Extranjera,2017,0.47
De 10 a 14 anios,Extranjera,2016,0.41
De 10 a 14 anios,Extranjera,2015,0.32
De 10 a 14 anios,Extranjera,2014,0.53
De 10 a 14 anios,Extranjera,2013,0.50
De 10 a 14 anios,Extranjera,2012,0.57
De 10 a 14 anios,Extranjera,2011,0.52
De 10 a 14 anios,Extranjera,2010,0.49
De 10 a 14 anios,Extranjera,2009,0.42
De 10 a 14 anios,Extranjera,2008,0.57
De 10 a 14 anios,Extranjera,2007,0.60
De 10 a 14 anios,Extranjera,2006,0.73
De 10 a 14 anios,Extranjera,2005,0.78
De 10 a 14 anios,Extranjera,2004,0.42
De 10 a 14 anios,Extranjera,2003,0.94
De 10 a 14 anios,Extranjera,2002,0.55
De 15 a 19 anios,Espaniola,2024,3.36
De 15 a 19 anios,Espaniola,2023,3.50
De 15 a 19 anios,Espaniola,2022,3.84
De 15 a 19 anios,Espaniola,2021,3.98
De 15 a 19 anios,Espaniola,2020,4.36
De 15 a 19 anios,Espaniola,2019,4.72
De 15 a 19 anios,Espaniola,2018,4.92
De 15 a 19 anios,Espaniola,2017,5.58
De 15 a 19 anios,Espaniola,2016,5.89
De 15 a 19 anios,Espaniola,2015,6.20
De 15 a 19 anios,Espaniola,2014,6.42
De 15 a 19 anios,Espaniola,2013,6.67
De 15 a 19 anios,Espaniola,2012,6.94
De 15 a 19 anios,Espaniola,2011,7.23
De 15 a 19 anios,Espaniola,2010,7.94
De 15 a 19 anios,Espaniola,2009,8.60
De 15 a 19 anios,Espaniola,2008,9.30
De 15 a 19 anios,Espaniola,2007,9.16
De 15 a 19 anios,Espaniola,2006,8.89
De 15 a 19 anios,Espaniola,2005,8.59
De 15 a 19 anios,Espaniola,2004,8.37
De 15 a 19 anios,Espaniola,2003,8.31
De 15 a 19 anios,Espaniola,2002,8.08
De 15 a 19 anios,Extranjera,2024,10.48
De 15 a 19 anios,Extranjera,2023,10.94
De 15 a 19 anios,Extranjera,2022,11.69
De 15 a 19 anios,Extranjera,2021,10.74
De 15 a 19 anios,Extranjera,2020,15.13
De 15 a 19 anios,Extranjera,2019,18.82
De 15 a 19 anios,Extranjera,2018,20.24
De 15 a 19 anios,Extranjera,2017,22.67
De 15 a 19 anios,Extranjera,2016,22.43
De 15 a 19 anios,Extranjera,2015,22.60
De 15 a 19 anios,Extranjera,2014,23.16
De 15 a 19 anios,Extranjera,2013,22.30
De 15 a 19 anios,Extranjera,2012,24.63
De 15 a 19 anios,Extranjera,2011,26.60
De 15 a 19 anios,Extranjera,2010,30.45
De 15 a 19 anios,Extranjera,2009,35.38
De 15 a 19 anios,Extranjera,2008,42.62
De 15 a 19 anios,Extranjera,2007,42.11
De 15 a 19 anios,Extranjera,2006,40.88
De 15 a 19 anios,Extranjera,2005,40.51
De 15 a 19 anios,Extranjera,2004,40.79
De 15 a 19 anios,Extranjera,2003,44.72
De 15 a 19 anios,Extranjera,2002,47.15
De 20 a 24 anios,Espaniola,2024,14.13
De 20 a 24 anios,Espaniola,2023,14.75
De 20 a 24 anios,Espaniola,2022,14.91
De 20 a 24 anios,Espaniola,2021,15.20
De 20 a 24 anios,Espaniola,2020,16.40
De 20 a 24 anios,Espaniola,2019,17.27
De 20 a 24 anios,Espaniola,2018,17.51
De 20 a 24 anios,Espaniola,2017,18.62
De 20 a 24 anios,Espaniola,2016,19.25
De 20 a 24 anios,Espaniola,2015,19.80
De 20 a 24 anios,Espaniola,2014,20.14
De 20 a 24 anios,Espaniola,2013,19.75
De 20 a 24 anios,Espaniola,2012,20.82
De 20 a 24 anios,Espaniola,2011,21.58
De 20 a 24 anios,Espaniola,2010,23.23
De 20 a 24 anios,Espaniola,2009,23.78
De 20 a 24 anios,Espaniola,2008,25.37
De 20 a 24 anios,Espaniola,2007,23.90
De 20 a 24 anios,Espaniola,2006,23.64
De 20 a 24 anios,Espaniola,2005,22.73
De 20 a 24 anios,Espaniola,2004,22.80
De 20 a 24 anios,Espaniola,2003,22.49
De 20 a 24 anios,Espaniola,2002,22.15
De 20 a 24 anios,Extranjera,2024,47.95
De 20 a 24 anios,Extranjera,2023,47.56
De 20 a 24 anios,Extranjera,2022,50.45
De 20 a 24 anios,Extranjera,2021,49.56
De 20 a 24 anios,Extranjera,2020,57.17
De 20 a 24 anios,Extranjera,2019,62.93
De 20 a 24 anios,Extranjera,2018,66.49
De 20 a 24 anios,Extranjera,2017,70.65
De 20 a 24 anios,Extranjera,2016,71.40
De 20 a 24 anios,Extranjera,2015,70.21
De 20 a 24 anios,Extranjera,2014,70.32
De 20 a 24 anios,Extranjera,2013,70.47
De 20 a 24 anios,Extranjera,2012,74.33
De 20 a 24 anios,Extranjera,2011,76.06
De 20 a 24 anios,Extranjera,2010,82.50
De 20 a 24 anios,Extranjera,2009,82.75
De 20 a 24 anios,Extranjera,2008,92.04
De 20 a 24 anios,Extranjera,2007,86.26
De 20 a 24 anios,Extranjera,2006,83.89
De 20 a 24 anios,Extranjera,2005,82.07
De 20 a 24 anios,Extranjera,2004,90.98
De 20 a 24 anios,Extranjera,2003,88.21
De 20 a 24 anios,Extranjera,2002,97.61
De 25 a 29 anios,Espaniola,2024,35.70
De 25 a 29 anios,Espaniola,2023,36.89
De 25 a 29 anios,Espaniola,2022,38.06
De 25 a 29 anios,Espaniola,2021,39.97
De 25 a 29 anios,Espaniola,2020,40.60
De 25 a 29 anios,Espaniola,2019,42.57
De 25 a 29 anios,Espaniola,2018,44.57
De 25 a 29 anios,Espaniola,2017,47.59
De 25 a 29 anios,Espaniola,2016,49.95
De 25 a 29 anios,Espaniola,2015,50.80
De 25 a 29 anios,Espaniola,2014,51.54
De 25 a 29 anios,Espaniola,2013,49.92
De 25 a 29 anios,Espaniola,2012,51.76
De 25 a 29 anios,Espaniola,2011,53.69
De 25 a 29 anios,Espaniola,2010,55.24
De 25 a 29 anios,Espaniola,2009,57.06
De 25 a 29 anios,Espaniola,2008,60.70
De 25 a 29 anios,Espaniola,2007,59.11
De 25 a 29 anios,Espaniola,2006,60.74
De 25 a 29 anios,Espaniola,2005,60.22
De 25 a 29 anios,Espaniola,2004,60.61
De 25 a 29 anios,Espaniola,2003,61.67
De 25 a 29 anios,Espaniola,2002,61.09
De 25 a 29 anios,Extranjera,2024,64.61
De 25 a 29 anios,Extranjera,2023,65.14
De 25 a 29 anios,Extranjera,2022,68.66
De 25 a 29 anios,Extranjera,2021,67.54
De 25 a 29 anios,Extranjera,2020,75.03
De 25 a 29 anios,Extranjera,2019,79.52
De 25 a 29 anios,Extranjera,2018,84.03
De 25 a 29 anios,Extranjera,2017,88.88
De 25 a 29 anios,Extranjera,2016,91.06
De 25 a 29 anios,Extranjera,2015,88.34
De 25 a 29 anios,Extranjera,2014,85.81
De 25 a 29 anios,Extranjera,2013,79.60
De 25 a 29 anios,Extranjera,2012,80.70
De 25 a 29 anios,Extranjera,2011,80.67
De 25 a 29 anios,Extranjera,2010,84.69
De 25 a 29 anios,Extranjera,2009,83.77
De 25 a 29 anios,Extranjera,2008,90.49
De 25 a 29 anios,Extranjera,2007,84.33
De 25 a 29 anios,Extranjera,2006,82.60
De 25 a 29 anios,Extranjera,2005,79.30
De 25 a 29 anios,Extranjera,2004,85.68
De 25 a 29 anios,Extranjera,2003,86.76
De 25 a 29 anios,Extranjera,2002,91.23
De 30 a 34 anios,Espaniola,2024,76.88
De 30 a 34 anios,Espaniola,2023,78.19
De 30 a 34 anios,Espaniola,2022,80.60
De 30 a 34 anios,Espaniola,2021,84.90
De 30 a 34 anios,Espaniola,2020,81.66
De 30 a 34 anios,Espaniola,2019,84.34
De 30 a 34 anios,Espaniola,2018,87.22
De 30 a 34 anios,Espaniola,2017,91.73
De 30 a 34 anios,Espaniola,2016,94.71
De 30 a 34 anios,Espaniola,2015,95.76
De 30 a 34 anios,Espaniola,2014,95.07
De 30 a 34 anios,Espaniola,2013,92.10
De 30 a 34 anios,Espaniola,2012,96.27
De 30 a 34 anios,Espaniola,2011,98.54
De 30 a 34 anios,Espaniola,2010,98.99
De 30 a 34 anios,Espaniola,2009,99.67
De 30 a 34 anios,Espaniola,2008,104.23
De 30 a 34 anios,Espaniola,2007,101.48
De 30 a 34 anios,Espaniola,2006,103.58
De 30 a 34 anios,Espaniola,2005,103.09
De 30 a 34 anios,Espaniola,2004,102.09
De 30 a 34 anios,Espaniola,2003,100.66
De 30 a 34 anios,Espaniola,2002,97.03
De 30 a 34 anios,Extranjera,2024,66.49
De 30 a 34 anios,Extranjera,2023,67.34
De 30 a 34 anios,Extranjera,2022,70.90
De 30 a 34 anios,Extranjera,2021,71.94
De 30 a 34 anios,Extranjera,2020,73.65
De 30 a 34 anios,Extranjera,2019,80.86
De 30 a 34 anios,Extranjera,2018,83.08
De 30 a 34 anios,Extranjera,2017,84.69
De 30 a 34 anios,Extranjera,2016,85.03
De 30 a 34 anios,Extranjera,2015,81.15
De 30 a 34 anios,Extranjera,2014,78.12
De 30 a 34 anios,Extranjera,2013,71.50
De 30 a 34 anios,Extranjera,2012,72.46
De 30 a 34 anios,Extranjera,2011,72.49
De 30 a 34 anios,Extranjera,2010,75.11
De 30 a 34 anios,Extranjera,2009,73.66
De 30 a 34 anios,Extranjera,2008,78.09
De 30 a 34 anios,Extranjera,2007,73.88
De 30 a 34 anios,Extranjera,2006,73.20
De 30 a 34 anios,Extranjera,2005,73.41
De 30 a 34 anios,Extranjera,2004,74.73
De 30 a 34 anios,Extranjera,2003,75.83
De 30 a 34 anios,Extranjera,2002,77.41
De 35 a 39 anios,Espaniola,2024,64.46
De 35 a 39 anios,Espaniola,2023,64.51
De 35 a 39 anios,Espaniola,2022,66.85
De 35 a 39 anios,Espaniola,2021,67.00
De 35 a 39 anios,Espaniola,2020,63.86
De 35 a 39 anios,Espaniola,2019,65.27
De 35 a 39 anios,Espaniola,2018,65.79
De 35 a 39 anios,Espaniola,2017,67.47
De 35 a 39 anios,Espaniola,2016,68.24
De 35 a 39 anios,Espaniola,2015,67.42
De 35 a 39 anios,Espaniola,2014,65.76
De 35 a 39 anios,Espaniola,2013,63.38
De 35 a 39 anios,Espaniola,2012,65.52
De 35 a 39 anios,Espaniola,2011,65.71
De 35 a 39 anios,Espaniola,2010,63.89
De 35 a 39 anios,Espaniola,2009,62.47
De 35 a 39 anios,Espaniola,2008,62.32
De 35 a 39 anios,Espaniola,2007,58.74
De 35 a 39 anios,Espaniola,2006,56.65
De 35 a 39 anios,Espaniola,2005,53.85
De 35 a 39 anios,Espaniola,2004,51.65
De 35 a 39 anios,Espaniola,2003,49.67
De 35 a 39 anios,Espaniola,2002,46.36
De 35 a 39 anios,Extranjera,2024,48.30
De 35 a 39 anios,Extranjera,2023,48.75
De 35 a 39 anios,Extranjera,2022,50.86
De 35 a 39 anios,Extranjera,2021,51.88
De 35 a 39 anios,Extranjera,2020,52.96
De 35 a 39 anios,Extranjera,2019,56.75
De 35 a 39 anios,Extranjera,2018,56.36
De 35 a 39 anios,Extranjera,2017,56.13
De 35 a 39 anios,Extranjera,2016,55.17
De 35 a 39 anios,Extranjera,2015,52.13
De 35 a 39 anios,Extranjera,2014,50.28
De 35 a 39 anios,Extranjera,2013,46.81
De 35 a 39 anios,Extranjera,2012,46.63
De 35 a 39 anios,Extranjera,2011,47.33
De 35 a 39 anios,Extranjera,2010,49.39
De 35 a 39 anios,Extranjera,2009,48.49
De 35 a 39 anios,Extranjera,2008,50.20
De 35 a 39 anios,Extranjera,2007,46.20
De 35 a 39 anios,Extranjera,2006,46.02
De 35 a 39 anios,Extranjera,2005,45.61
De 35 a 39 anios,Extranjera,2004,46.26
De 35 a 39 anios,Extranjera,2003,46.68
De 35 a 39 anios,Extranjera,2002,47.77
De 40 a 44 anios,Espaniola,2024,16.55
De 40 a 44 anios,Espaniola,2023,16.85
De 40 a 44 anios,Espaniola,2022,17.18
De 40 a 44 anios,Espaniola,2021,16.95
De 40 a 44 anios,Espaniola,2020,16.07
De 40 a 44 anios,Espaniola,2019,16.33
De 40 a 44 anios,Espaniola,2018,16.67
De 40 a 44 anios,Espaniola,2017,16.61
De 40 a 44 anios,Espaniola,2016,16.33
De 40 a 44 anios,Espaniola,2015,15.75
De 40 a 44 anios,Espaniola,2014,15.04
De 40 a 44 anios,Espaniola,2013,14.31
De 40 a 44 anios,Espaniola,2012,13.95
De 40 a 44 anios,Espaniola,2011,12.84
De 40 a 44 anios,Espaniola,2010,11.91
De 40 a 44 anios,Espaniola,2009,11.17
De 40 a 44 anios,Espaniola,2008,10.82
De 40 a 44 anios,Espaniola,2007,9.84
De 40 a 44 anios,Espaniola,2006,9.47
De 40 a 44 anios,Espaniola,2005,8.84
De 40 a 44 anios,Espaniola,2004,8.28
De 40 a 44 anios,Espaniola,2003,7.85
De 40 a 44 anios,Espaniola,2002,7.20
De 40 a 44 anios,Extranjera,2024,16.31
De 40 a 44 anios,Extranjera,2023,16.86
De 40 a 44 anios,Extranjera,2022,17.72
De 40 a 44 anios,Extranjera,2021,17.96
De 40 a 44 anios,Extranjera,2020,17.68
De 40 a 44 anios,Extranjera,2019,18.63
De 40 a 44 anios,Extranjera,2018,18.78
De 40 a 44 anios,Extranjera,2017,18.15
De 40 a 44 anios,Extranjera,2016,17.44
De 40 a 44 anios,Extranjera,2015,17.24
De 40 a 44 anios,Extranjera,2014,16.36
De 40 a 44 anios,Extranjera,2013,15.32
De 40 a 44 anios,Extranjera,2012,14.78
De 40 a 44 anios,Extranjera,2011,14.75
De 40 a 44 anios,Extranjera,2010,15.07
De 40 a 44 anios,Extranjera,2009,14.79
De 40 a 44 anios,Extranjera,2008,15.35
De 40 a 44 anios,Extranjera,2007,14.52
De 40 a 44 anios,Extranjera,2006,13.94
De 40 a 44 anios,Extranjera,2005,14.28
De 40 a 44 anios,Extranjera,2004,14.49
De 40 a 44 anios,Extranjera,2003,13.97
De 40 a 44 anios,Extranjera,2002,14.31
De 45 a 49 anios,Espaniola,2024,1.57
De 45 a 49 anios,Espaniola,2023,1.57
De 45 a 49 anios,Espaniola,2022,1.73
De 45 a 49 anios,Espaniola,2021,1.53
De 45 a 49 anios,Espaniola,2020,1.39
De 45 a 49 anios,Espaniola,2019,1.44
De 45 a 49 anios,Espaniola,2018,1.48
De 45 a 49 anios,Espaniola,2017,1.40
De 45 a 49 anios,Espaniola,2016,1.24
De 45 a 49 anios,Espaniola,2015,1.06
De 45 a 49 anios,Espaniola,2014,1.01
De 45 a 49 anios,Espaniola,2013,0.88
De 45 a 49 anios,Espaniola,2012,0.86
De 45 a 49 anios,Espaniola,2011,0.78
De 45 a 49 anios,Espaniola,2010,0.82
De 45 a 49 anios,Espaniola,2009,0.80
De 45 a 49 anios,Espaniola,2008,0.67
De 45 a 49 anios,Espaniola,2007,0.65
De 45 a 49 anios,Espaniola,2006,0.59
De 45 a 49 anios,Espaniola,2005,0.42
De 45 a 49 anios,Espaniola,2004,0.39
De 45 a 49 anios,Espaniola,2003,0.38
De 45 a 49 anios,Espaniola,2002,0.35
De 45 a 49 anios,Extranjera,2024,1.60
De 45 a 49 anios,Extranjera,2023,1.79
De 45 a 49 anios,Extranjera,2022,1.85
De 45 a 49 anios,Extranjera,2021,1.85
De 45 a 49 anios,Extranjera,2020,1.80
De 45 a 49 anios,Extranjera,2019,1.88
De 45 a 49 anios,Extranjera,2018,1.53
De 45 a 49 anios,Extranjera,2017,1.63
De 45 a 49 anios,Extranjera,2016,1.64
De 45 a 49 anios,Extranjera,2015,1.46
De 45 a 49 anios,Extranjera,2014,1.43
De 45 a 49 anios,Extranjera,2013,1.18
De 45 a 49 anios,Extranjera,2012,1.27
De 45 a 49 anios,Extranjera,2011,1.20
De 45 a 49 anios,Extranjera,2010,1.36
De 45 a 49 anios,Extranjera,2009,1.49
De 45 a 49 anios,Extranjera,2008,1.32
De 45 a 49 anios,Extranjera,2007,1.48
De 45 a 49 anios,Extranjera,2006,1.46
De 45 a 49 anios,Extranjera,2005,1.20
De 45 a 49 anios,Extranjera,2004,1.08
De 45 a 49 anios,Extranjera,2003,1.24
De 45 a 49 anios,Extranjera,2002,1.23
50 y mas anios,Espaniola,2024,0.70
50 y mas anios,Espaniola,2023,0.54
50 y mas anios,Espaniola,2022,0.66
50 y mas anios,Espaniola,2021,0.56
50 y mas anios,Espaniola,2020,0.45
50 y mas anios,Espaniola,2019,0.45
50 y mas anios,Espaniola,2018,0.45
50 y mas anios,Espaniola,2017,0.43
50 y mas anios,Espaniola,2016,0.35
50 y mas anios,Espaniola,2015,0.29
50 y mas anios,Espaniola,2014,0.32
50 y mas anios,Espaniola,2013,0.24
50 y mas anios,Espaniola,2012,0.31
50 y mas anios,Espaniola,2011,0.28
50 y mas anios,Espaniola,2010,0.27
50 y mas anios,Espaniola,2009,0.27
50 y mas anios,Espaniola,2008,0.30
50 y mas anios,Espaniola,2007,0.19
