grupo_edad,nacionalidad,anio,poblacion
De 15 a 19 anios,Espaniola,1 de julio de 2022,1.101.020
De 15 a 19 anios,Espaniola,1 de enero de 2022,1.089.500
De 15 a 19 anios,Espaniola,1 de julio de 2021,1.078.688
De 15 a 19 anios,Espaniola,1 de enero de 2021,1.068.559
De 15 a 19 anios,Espaniola,1 de julio de 2020,1.058.692
De 15 a 19 anios,Espaniola,1 de enero de 2020,1.050.003
De 15 a 19 anios,Espaniola,1 de julio de 2019,1.038.847
De 15 a 19 anios,Espaniola,1 de enero de 2019,1.027.922
De 15 a 19 anios,Espaniola,1 de julio de 2018,1.013.624
De 15 a 19 anios,Espaniola,1 de enero de 2018,999.630
De 15 a 19 anios,Espaniola,1 de julio de 2017,991.112
De 15 a 19 anios,Espaniola,1 de enero de 2017,982.299
De 15 a 19 anios,Espaniola,1 de julio de 2016,972.404
De 15 a 19 anios,Espaniola,1 de enero de 2016,962.258
De 15 a 19 anios,Espaniola,1 de julio de 2015,952.777
De 15 a 19 anios,Espaniola,1 de enero de 2015,943.073
De 15 a 19 anios,Espaniola,1 de julio de 2014,936.236
De 15 a 19 anios,Espaniola,1 de enero de 2014,928.350
De 15 a 19 anios,Espaniola,1 de julio de 2013,929.131
De 15 a 19 anios,Espaniola,1 de enero de 2013,930.309
De 15 a 19 anios,Espaniola,1 de julio de 2012,936.523
De 15 a 19 anios,Espaniola,1 de enero de 2012,941.385
De 15 a 19 anios,Espaniola,1 de julio de 2011,946.999
De 15 a 19 anios,Espaniola,1 de enero de 2011,952.136
De 15 a 19 anios,Espaniola,1 de julio de 2010,959.305
De 15 a 19 anios,Espaniola,1 de enero de 2010,966.592
De 15 a 19 anios,Espaniola,1 de julio de 2009,974.407
De 15 a 19 anios,Espaniola,1 de enero de 2009,982.994
De 15 a 19 anios,Espaniola,1 de julio de 2008,988.863
De 15 a 19 anios,Espaniola,1 de enero de 2008,994.395
De 15 a 19 anios,Espaniola,1 de julio de 2007,997.949
De 15 a 19 anios,Espaniola,1 de enero de 2007,1.001.861
De 15 a 19 anios,Espaniola,1 de julio de 2006,1.010.040
De 15 a 19 anios,Espaniola,1 de enero de 2006,1.018.541
